indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2019-6-01,patagonia,no residentes,12635,
2019-6-01,patagonia,residentes,44336,
2019-6-01,patagonia,total,56971,
2019-7-01,patagonia,no residentes,21503,
2019-7-01,patagonia,residentes,75263,
2019-7-01,patagonia,total,96766,
2019-8-01,patagonia,no residentes,22807,
2019-8-01,patagonia,residentes,63967,
2019-8-01,patagonia,total,86774,
2019-9-01,patagonia,no residentes,30775,
2019-9-01,patagonia,residentes,80557,
2019-9-01,patagonia,total,111332,
2020-1-01,patagonia,no residentes,140545,
2020-1-01,patagonia,residentes,386857,
2020-1-01,patagonia,total,527402,
2020-10-01,patagonia,no residentes,0,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2020-10-01,patagonia,residentes,15461,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-10-01,patagonia,total,15461,Emergencia sanitaria
2020-11-01,patagonia,no residentes,0,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2020-11-01,patagonia,residentes,23983,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-11-01,patagonia,total,23983,Emergencia sanitaria
2020-12-01,patagonia,no residentes,304,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2020-12-01,patagonia,residentes,29665,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais.
2020-12-01,patagonia,total,29969,Emergencia sanitaria
2020-2-01,patagonia,no residentes,125058,
2020-2-01,patagonia,residentes,259031,
2020-2-01,patagonia,total,384089,
2020-3-01,patagonia,no residentes,41476,
2020-3-01,patagonia,residentes,64984,
2020-3-01,patagonia,total,106459,
2020-4-01,patagonia,no residentes,0,
2020-4-01,patagonia,residentes,0,
2020-4-01,patagonia,total,0,
2020-5-01,patagonia,no residentes,0,
2020-5-01,patagonia,residentes,0,
2020-5-01,patagonia,total,0,
2020-6-01,patagonia,no residentes,0,
2020-6-01,patagonia,residentes,0,
2020-6-01,patagonia,total,0,
2020-7-01,patagonia,no residentes,0,
